Folio,Sexo,Edad,Escolaridad,Estado civil,Religión,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
1,1,20,4,1,4,5,5,5,1,5,1,5,2,3,1,1,5,4,3,2,3,2,5,4,1,5,1,1,1,1
2,1,21,4,1,2,4,3,3,2,4,4,3,4,3,4,4,3,3,4,2,2,3,3,4,4,4,4,3,3,3
3,1,22,4,1,4,2,4,3,1,5,2,5,1,5,1,1,5,4,3,4,5,1,5,5,3,5,3,1,1,1
4,1,26,5,2,1,1,4,3,1,5,2,5,2,5,1,2,5,4,3,5,4,2,5,5,1,5,3,1,1,2
5,1,32,5,4,4,1,5,5,1,5,1,5,1,5,1,1,5,5,4,5,4,1,5,5,1,4,1,1,1,1
6,1,45,6,3,1,1,5,5,1,5,1,5,1,5,1,1,5,5,3,5,5,1,5,5,1,5,1,1,1,1
7,1,46,3,3,2,5,1,1,5,3,5,5,5,5,5,5,5,5,5,1,1,5,5,3,5,5,5,5,5,5
8,1,78,1,1,1,4,2,3,2,3,2,4,4,4,3,4,2,4,3,5,2,4,2,5,5,2,5,5,3,1
9,1,21,4,1,1,2,4,3,2,4,2,5,3,4,2,2,4,4,3,3,2,2,5,5,1,4,2,2,2,1
10,1,29,5,2,1,1,5,3,1,5,1,5,1,5,1,1,5,5,2,5,2,1,5,5,1,4,1,1,1,1
11,1,20,4,1,4,1,5,3,1,5,1,5,1,5,1,1,5,5,3,4,4,1,5,5,1,5,1,1,1,1
12,1,24,4,1,4,2,4,3,2,3,1,4,3,4,1,2,4,4,3,3,3,1,5,4,1,4,3,2,1,2
13,1,54,3,3,1,4,5,1,4,4,3,1,5,2,3,3,2,3,4,1,1,4,2,2,4,2,5,5,5,4
14,1,41,6,4,4,5,5,5,1,5,1,5,1,5,1,1,5,5,2,4,3,1,5,5,1,5,1,1,1,1
15,1,25,4,2,4,3,4,3,2,4,2,4,3,4,1,2,3,4,3,4,3,1,5,4,1,4,3,1,1,2
16,1,20,4,1,1,2,3,4,1,5,1,5,2,5,1,2,5,5,2,3,5,2,3,5,1,5,3,1,1,1
17,1,20,4,1,1,1,5,3,1,5,1,5,1,5,1,1,5,5,2,5,2,1,5,5,1,5,1,1,1,1
18,1,24,5,1,4,1,5,4,1,5,1,5,1,5,1,1,5,5,1,5,5,1,5,5,1,5,1,1,1,1
19,1,53,3,3,1,4,1,5,5,4,4,2,4,2,2,5,2,4,5,5,1,3,3,3,3,4,1,3,3,2
20,1,32,4,4,4,3,1,1,5,4,2,1,3,2,2,5,3,5,4,5,1,3,3,5,3,5,4,2,3,1
21,1,23,4,2,1,2,4,2,2,5,2,5,1,4,1,1,5,5,3,3,1,1,5,5,1,5,3,1,3,1
22,1,34,5,4,1,3,2,4,2,5,1,4,2,5,1,1,2,5,2,3,1,1,5,5,1,5,3,2,1,1
23,1,38,2,3,3,3,2,2,2,5,2,3,2,4,1,3,4,3,3,4,2,3,4,5,2,4,3,2,2,2
24,1,45,6,3,1,5,5,5,1,5,1,5,1,5,1,1,5,5,2,5,2,1,5,5,1,5,1,1,1,1
25,1,45,5,4,2,2,3,3,1,5,2,4,2,4,2,3,3,4,3,4,2,2,5,4,2,5,3,2,2,2
26,1,22,3,2,1,2,3,3,3,4,2,3,3,3,2,3,3,4,3,3,3,3,4,4,3,4,3,2,2,1
27,1,50,6,3,1,2,1,1,2,5,1,2,3,3,2,2,3,5,3,5,2,2,5,5,3,5,3,2,2,2
28,1,42,5,4,1,5,1,2,5,5,3,1,5,5,1,3,2,3,5,1,2,5,3,5,3,3,5,3,3,1
29,1,62,2,1,1,5,1,1,5,3,1,1,5,1,5,4,1,3,5,5,1,5,1,5,5,5,5,3,5,3
30,1,41,5,1,1,3,4,2,2,5,2,4,3,4,2,2,4,4,3,4,4,2,4,4,2,4,3,2,2,2
